IDL,IDR,2mm,2mm_FWHM,5mm,5mm_FWHM,10mm,10mm_FWHM,15mm,15mm_FWHM,20mm,20mm_FWHM,25mm,25mm_FWHM,28mm,28mm_FWHM
78.0,73.0,-0.20389469710093033,0.05066580913839595,-0.19723548504651553,0.059003679326756105,-0.12476494416891944,0.06695333565108882,0.0,0.06359108472198045,0.021832621132516813,0.06167818649653313,0.11805876926616939,0.055173257106192766,0.1606294552724573,0.05172754236340951
79.0,72.0,-0.24702156623584293,0.0618290656531631,-0.2313972342669936,0.06896716718704529,-0.1316660175455407,0.07346461030102838,0.0,0.07279763135761061,0.08289968142638293,0.07548828512033841,0.15910286276822097,0.06247780356622932,0.20944226624356105,0.056581649238493924
86.0,81.0,-0.2303558355139841,0.05993339035013558,-0.21843274053068845,0.06940991831127348,-0.12780611271113462,0.07728822979675966,0.0,0.07067420250961616,0.05207594623763927,0.06726328663160984,0.1521944877084927,0.06177810120521897,0.1848511345547207,0.056227924856382845
87.0,80.0,-0.2892611721943794,0.07108052035497929,-0.2770346593080696,0.07625318999295227,-0.16545154392489658,0.08508208737530236,0.0,0.08629650113156495,0.07625561312406345,0.08513647163793668,0.18970887791637098,0.0746379324755522,0.24027094780445568,0.06439166467068148
94.0,89.0,-0.21389660773913755,0.056510147773237505,-0.20806239148507488,0.06041352093308537,-0.1293545184966783,0.06842320267897714,0.0,0.06880859761600262,0.02832561891407584,0.06315527992680127,0.12694810993662312,0.05942750199780515,0.1682456778219946,0.052671351285115034
95.0,88.0,-0.26668821083884614,0.07072273954251602,-0.2538854006505778,0.06557877255531623,-0.15473352300144974,0.07797589868204433,0.0,0.07732738816901781,0.06730218923612359,0.08121544460269364,0.16679881325066742,0.07044054883149145,0.21828824241083156,0.06182922410239431
102.0,97.0,-0.21764860412633572,0.05628408147237913,-0.2102390621797284,0.06160268183603895,-0.13127328860211465,0.06836119761375176,0.0,0.06781382199548967,0.03344175688560997,0.06941743211106355,0.11816684333040095,0.05930761630916068,0.1743959348948699,0.05328483686805815
103.0,96.0,-0.2531839169081798,0.066834624720391,-0.24422268353089827,0.07103482919987048,-0.1478525221243789,0.0760674501674471,0.0,0.07133815219806623,0.04491633186783553,0.07374254607503855,0.14810300431858647,0.06311011296449553,0.1941682296308731,0.0567853703429135
