TimeL,ChargeL,ChannelIDL,TimeR,ChargeR,ChannelIDR,DOI,NCD,delta_t
559952909475046.0,18.52618,79.0,559952909475710.0,26.200783,72.0,2.0,-0.1715878406499453,-664.0
753456897080259.0,19.851078,79.0,753456897080630.0,26.692074,72.0,2.0,-0.1469817944431438,-371.0
1375062014433391.0,19.639912,79.0,1375062014433462.0,26.719597,72.0,2.0,-0.1527126829578803,-71.0
778575963169150.0,19.01149,79.0,778575963169581.0,26.240849,72.0,2.0,-0.1597565818641994,-431.0
638767318729023.0,18.964352,79.0,638767318729225.0,25.393936,72.0,2.0,-0.144946621925535,-202.0
910077859497971.0,19.98135,79.0,910077859497881.0,26.773766,72.0,2.0,-0.1452764227983093,90.0
1238132084233201.0,19.612179,79.0,1238132084233277.0,27.818336,72.0,2.0,-0.1730142925920158,-76.0
863522059755347.0,17.084202,79.0,863522059755516.0,23.79031,72.0,2.0,-0.1640657630358987,-169.0
1229379084356725.0,19.460072,79.0,1229379084356977.0,27.799927,72.0,2.0,-0.1764675238355379,-252.0
956926520936225.0,16.65509,79.0,956926520936426.0,24.874664,72.0,2.0,-0.1979201225222764,-201.0
1472442375182761.0,19.14455,79.0,1472442375183238.0,26.709526,72.0,2.0,-0.1649793575602745,-477.0
286389957436766.0,17.580555,79.0,286389957437480.0,26.796318,72.0,2.0,-0.2076704007513102,-714.0
1229858090764063.0,20.065117,79.0,1229858090764413.0,26.44772,72.0,2.0,-0.13722239733517,-350.0
1027798106356786.0,20.549633,79.0,1027798106357061.0,27.333298,72.0,2.0,-0.141671883034896,-275.0
92860546276672.0,17.278408,79.0,92860546276973.0,26.452599,72.0,2.0,-0.2097868681597019,-301.0
340370779685195.0,17.838673,79.0,340370779685424.0,24.36618,72.0,2.0,-0.154662474478942,-229.0
1073492146038090.0,21.087795,79.0,1073492146038590.0,26.88028,72.0,2.0,-0.1207570868749683,-500.0
716364392283219.0,18.833618,79.0,716364392283462.0,27.686279,72.0,2.0,-0.1902983792075033,-243.0
869272218201945.0,19.54987,79.0,869272218202351.0,27.280296,72.0,2.0,-0.1650736407810299,-406.0
1152382524021194.0,18.541477,79.0,1152382524021618.0,27.13184,72.0,2.0,-0.1880827486210384,-424.0
1242049512769115.0,19.195606,79.0,1242049512769581.0,27.452587,72.0,2.0,-0.1770053772500898,-466.0
528479326082388.0,19.380695,79.0,528479326082599.0,25.994217,72.0,2.0,-0.1457528336363495,-211.0
1179056503797689.0,17.369892,79.0,1179056503797983.0,25.903973,72.0,2.0,-0.197210972488822,-294.0
568818663587971.0,18.476162,79.0,568818663588604.0,23.672523,72.0,2.0,-0.1232864323050648,-633.0
1363554539768604.0,19.311039,79.0,1363554539768700.0,26.181038,72.0,2.0,-0.1510152855847843,-96.0
216880325456004.0,18.038738,79.0,216880325456130.0,26.420792,72.0,2.0,-0.1885322224503947,-126.0
1636167196950436.0,18.108593,79.0,1636167196950851.0,26.710396,72.0,2.0,-0.1919231823814678,-415.0
457613362315203.0,16.871208,79.0,457613362315286.0,25.155403,72.0,2.0,-0.1971178451671965,-83.0
112033757769325.0,17.521778,79.0,112033757769329.0,26.433491,72.0,2.0,-0.202745045195833,-4.0
251207985010504.0,17.791313,79.0,251207985010458.0,25.454075,72.0,2.0,-0.1771925829408676,46.0
1259635639133811.0,21.232975,79.0,1259635639134356.0,23.796803,72.0,2.0,-0.0569362789219169,-545.0
1080489462621367.0,18.317875,79.0,1080489462621625.0,24.67614,72.0,2.0,-0.1478872117433089,-258.0
1656705444064559.0,16.681324,79.0,1656705444064726.0,24.089622,72.0,2.0,-0.181705325159735,-167.0
456865919706072.0,18.520893,79.0,456865919706217.0,24.147041,72.0,2.0,-0.1318589271278051,-145.0
921928910565530.0,19.047421,79.0,921928910565905.0,27.342415,72.0,2.0,-0.1788105911820856,-375.0
320886799651817.0,19.482204,79.0,320886799652267.0,24.856468,72.0,2.0,-0.1212094038360012,-450.0
506094054760226.0,18.924702,79.0,506094054760374.0,25.676922,72.0,2.0,-0.1513895547839245,-148.0
358565544337127.0,18.295498,79.0,358565544337471.0,26.28223,72.0,2.0,-0.179164178129491,-344.0
171315317753090.0,19.359943,79.0,171315317753120.0,27.37936,72.0,2.0,-0.1715775907056208,-30.0
1165437525002590.0,19.343536,79.0,1165437525002972.0,24.999062,72.0,2.0,-0.1275416023210908,-382.0
1733809716262186.0,19.317486,79.0,1733809716262434.0,27.53569,72.0,2.0,-0.1754033493908716,-248.0
1259122802888811.0,19.286259,79.0,1259122802889131.0,27.118069,72.0,2.0,-0.1687732661487953,-320.0
1145646276081251.0,19.622456,79.0,1145646276081523.0,25.062263,72.0,2.0,-0.1217375228430999,-272.0
1205566742024826.0,19.725323,79.0,1205566742025317.0,25.401619,72.0,2.0,-0.1257850797867048,-491.0
336740551372578.0,17.966656,79.0,336740551372713.0,26.497673,72.0,2.0,-0.1918620429423324,-135.0
1053171148655919.0,18.482258,79.0,1053171148656228.0,26.756302,72.0,2.0,-0.1828980409632843,-309.0
841352782200264.0,18.165138,79.0,841352782200569.0,26.173759,72.0,2.0,-0.1806229189688683,-305.0
403373853328651.0,18.414211,79.0,403373853328956.0,26.231438,72.0,2.0,-0.1750949347830064,-305.0
721963745478853.0,18.954422,79.0,721963745479188.0,26.4044,72.0,2.0,-0.1642454030221507,-335.0
517602956031634.0,18.797085,79.0,517602956031937.0,27.379562,72.0,2.0,-0.1858618491723749,-303.0
1239649753732006.0,18.916149,79.0,1239649753732471.0,27.24651,72.0,2.0,-0.1804566976958584,-465.0
35143361959452.0,18.859604,79.0,35143361959756.0,27.463158,72.0,2.0,-0.1857305917984769,-304.0
