TimeL,ChargeL,ChannelIDL,TimeR,ChargeR,ChannelIDR,DOI,NCD,delta_t
47933875440833.0,18.925903,79.0,47933875441107.0,26.7897,72.0,2.0,-0.1720156026379002,-274.0
1152382524021194.0,18.541477,79.0,1152382524021618.0,27.13184,72.0,2.0,-0.1880827486210384,-424.0
850644681128993.0,17.88805,79.0,850644681129084.0,27.534691,72.0,2.0,-0.2123747001529475,-91.0
504422525070863.0,18.0756,79.0,504422525070932.0,25.900597,72.0,2.0,-0.1779371008366185,-69.0
1203815355807787.0,15.931255,79.0,1203815355807934.0,24.15303,72.0,2.0,-0.2051121780019277,-147.0
214251582510080.0,18.102772,79.0,214251582510328.0,27.30069,72.0,2.0,-0.2025818647926009,-248.0
1672834061189074.0,18.71999,79.0,1672834061189615.0,27.193779,72.0,2.0,-0.184558775821693,-541.0
649423367194738.0,16.072811,79.0,649423367195035.0,24.387871,72.0,2.0,-0.2055096352552831,-297.0
364558233345733.0,16.692127,79.0,364558233345862.0,23.809914,72.0,2.0,-0.175738970784213,-129.0
1319359413185623.0,19.314529,79.0,1319359413185904.0,28.417259,72.0,2.0,-0.1907058248058925,-281.0
713302883227640.0,19.700222,79.0,713302883227965.0,26.55101,72.0,2.0,-0.1481212003174315,-325.0
1624230278517909.0,19.165165,79.0,1624230278518321.0,26.451149,72.0,2.0,-0.1597232077979821,-412.0
1257391881220348.0,18.733723,79.0,1257391881220966.0,24.837238,72.0,2.0,-0.1400821753736393,-618.0
1004571532918090.0,18.494549,79.0,1004571532918406.0,27.465332,72.0,2.0,-0.1951872547276613,-316.0
524333077001878.0,16.494823,79.0,524333077002209.0,25.084381,72.0,2.0,-0.2065830312672652,-331.0
701958577922079.0,19.381638,79.0,701958577922365.0,27.01458,72.0,2.0,-0.1645164698553662,-286.0
244926364561313.0,17.09922,79.0,244926364561598.0,26.108032,72.0,2.0,-0.2085023134542322,-285.0
1578085844880955.0,19.160599,79.0,1578085844880966.0,27.24184,72.0,2.0,-0.1741555222991618,-11.0
1318733124640085.0,18.989403,79.0,1318733124640260.0,26.862606,72.0,2.0,-0.1717090084318879,-175.0
117180476204860.0,17.807583,79.0,117180476205176.0,26.359592,72.0,2.0,-0.1936281639022644,-316.0
1690147265485863.0,20.635338,79.0,1690147265486137.0,25.831097,72.0,2.0,-0.1118174656609657,-274.0
119480994013822.0,18.948792,79.0,119480994014181.0,26.999588,72.0,2.0,-0.1752139248434873,-359.0
2400653915408.0,17.952427,79.0,2400653915569.0,24.973557,72.0,2.0,-0.1635636354894042,-161.0
352919577803109.0,19.388775,79.0,352919577803536.0,26.550785,72.0,2.0,-0.1559007095409708,-427.0
234108789295378.0,15.73608,79.0,234108789295354.0,23.709145,72.0,2.0,-0.202130042356204,24.0
962725953193250.0,15.846359,79.0,962725953193290.0,23.822411,72.0,2.0,-0.2010662795947542,-40.0
516686274018483.0,17.502407,79.0,516686274018687.0,25.285103,72.0,2.0,-0.1818917716875789,-204.0
679382637744234.0,18.940586,79.0,679382637744635.0,25.881004,72.0,2.0,-0.1548454215925852,-401.0
1546945199345131.0,19.359119,79.0,1546945199345411.0,28.045517,72.0,2.0,-0.1832394198744612,-280.0
1416927162895863.0,19.581215,79.0,1416927162896080.0,28.233799,72.0,2.0,-0.180959562199438,-217.0
505387110520295.0,17.962418,79.0,505387110520798.0,26.002148,72.0,2.0,-0.1828684036139467,-503.0
818089799953361.0,19.198101,79.0,818089799953573.0,26.023903,72.0,2.0,-0.1509398389332768,-212.0
253663882134986.0,17.588871,79.0,253663882135233.0,26.130642,72.0,2.0,-0.1953766273654512,-247.0
1493997469819887.0,19.312244,79.0,1493997469820260.0,27.077538,72.0,2.0,-0.1673923365279018,-373.0
1119214579023773.0,19.089581,79.0,1119214579023943.0,27.748604,72.0,2.0,-0.1848710192335591,-170.0
977610518597398.0,19.216091,79.0,977610518597568.0,24.793129,72.0,2.0,-0.1267243091334043,-170.0
993159236963101.0,17.736244,79.0,993159236963334.0,25.185448,72.0,2.0,-0.1735533631805568,-233.0
1378291910176881.0,19.685253,79.0,1378291910177297.0,26.059784,72.0,2.0,-0.1393491276441639,-416.0
821683166620137.0,18.539577,79.0,821683166620310.0,27.949753,72.0,2.0,-0.2024158231577009,-173.0
522812601523952.0,18.906651,79.0,522812601524393.0,28.328445,72.0,2.0,-0.1994659648833993,-441.0
3288475469234.0,17.43903,79.0,3288475469477.0,26.887108,72.0,2.0,-0.2131491356183568,-243.0
105088548353052.0,16.158085,79.0,105088548353349.0,23.861549,72.0,2.0,-0.1924921152452319,-297.0
86681082750714.0,19.329971,79.0,86681082750932.0,26.866959,72.0,2.0,-0.1631491096919211,-218.0
312272219249176.0,18.131466,79.0,312272219249463.0,25.849625,72.0,2.0,-0.1754881205652674,-287.0
1306652666211878.0,18.42432,79.0,1306652666212057.0,27.436386,72.0,2.0,-0.1965095347638127,-179.0
1181549595454333.0,18.627205,79.0,1181549595454501.0,26.923355,72.0,2.0,-0.1821305819291793,-168.0
1342136129348420.0,16.703197,79.0,1342136129348532.0,24.749298,72.0,2.0,-0.194104142585386,-112.0
1669410795983634.0,19.311481,79.0,1669410795983849.0,28.517727,72.0,2.0,-0.1924816735414059,-215.0
398257349467159.0,18.454052,79.0,398257349467427.0,27.403694,72.0,2.0,-0.1951609658267983,-268.0
1490699053384406.0,18.994404,79.0,1490699053384622.0,28.371284,72.0,2.0,-0.1979677778564094,-216.0
300636030091163.0,18.965755,79.0,300636030091336.0,27.798321,72.0,2.0,-0.1888750244952984,-173.0
1225537415615714.0,17.192017,79.0,1225537415615592.0,27.037041,72.0,2.0,-0.2225917630893246,122.0
167280082926404.0,19.014858,79.0,167280082926850.0,26.159065,72.0,2.0,-0.1581489170201135,-446.0
568818663587971.0,18.476162,79.0,568818663588604.0,23.672523,72.0,2.0,-0.1232864323050648,-633.0
1092657413864684.0,17.959957,79.0,1092657413864756.0,26.494308,72.0,2.0,-0.1919804770138478,-72.0
1500410567536184.0,16.574657,79.0,1500410567536201.0,25.071648,72.0,2.0,-0.2040274881529106,-17.0
403393070799084.0,17.904766,79.0,403393070799242.0,25.210361,72.0,2.0,-0.1694438937869764,-158.0
1297536270001763.0,17.613052,79.0,1297536270002114.0,24.566849,72.0,2.0,-0.1648604390987072,-351.0
1520475454427235.0,18.919186,79.0,1520475454427674.0,26.118202,72.0,2.0,-0.1598453267316479,-439.0
655185084530325.0,19.2537,79.0,655185084530606.0,27.356873,72.0,2.0,-0.1738483884332424,-281.0
316082327844776.0,18.406681,79.0,316082327845145.0,27.534462,72.0,2.0,-0.1986842382219354,-369.0
485144383154084.0,20.045475,79.0,485144383154379.0,26.79483,72.0,2.0,-0.1440928917947908,-295.0
466184799079081.0,15.90398,79.0,466184799079276.0,23.996918,72.0,2.0,-0.2028259614608172,-195.0
693168823304875.0,19.162727,79.0,693168823305062.0,25.855854,72.0,2.0,-0.148674766092694,-187.0
1786387950167590.0,17.845581,79.0,1786387950167484.0,25.735664,72.0,2.0,-0.1810430840146948,106.0
569359544244948.0,18.68005,79.0,569359544245156.0,24.621727,72.0,2.0,-0.137215546604473,-208.0
748006008972638.0,18.044193,79.0,748006008972851.0,25.327354,72.0,2.0,-0.1679248609693354,-213.0
1689134082452849.0,19.311985,79.0,1689134082453238.0,26.709526,72.0,2.0,-0.1607409413393662,-389.0
249523434636855.0,18.913811,79.0,249523434637075.0,27.408096,72.0,2.0,-0.1833751145003594,-220.0
878445240304093.0,19.43647,79.0,878445240304306.0,26.160172,72.0,2.0,-0.1474604643034897,-213.0
811827631735499.0,18.829662,79.0,811827631735626.0,26.908447,72.0,2.0,-0.1766313731947248,-127.0
1147132428267567.0,20.49213,79.0,1147132428267449.0,25.82737,72.0,2.0,-0.1151834540528287,118.0
1108480322127640.0,18.837704,79.0,1108480322127846.0,28.078979,72.0,2.0,-0.1969720451038706,-206.0
789323655917750.0,17.811626,79.0,789323655917972.0,26.202095,72.0,2.0,-0.1906330300953195,-222.0
466137739596133.0,19.385983,79.0,466137739596297.0,28.013252,72.0,2.0,-0.1820128320636398,-164.0
1554289530243673.0,18.919395,79.0,1554289530244188.0,27.6143,72.0,2.0,-0.1868518070615281,-515.0
1666550317924477.0,18.840244,79.0,1666550317924837.0,27.257427,72.0,2.0,-0.1825945393206524,-360.0
283531296283723.0,18.622242,79.0,283531296283875.0,26.101254,72.0,2.0,-0.167227803479406,-152.0
1748336238642097.0,18.716908,79.0,1748336238642529.0,26.053005,72.0,2.0,-0.1638622125533279,-432.0
1324211205056430.0,17.299793,79.0,1324211205056541.0,25.376778,72.0,2.0,-0.1892604023879988,-111.0
1210276886691184.0,18.495609,79.0,1210276886691606.0,23.749367,72.0,2.0,-0.1243640900636326,-422.0
856085393014806.0,17.978649,79.0,856085393015270.0,26.806129,72.0,2.0,-0.1971089373268747,-464.0
1209931642409112.0,18.707561,79.0,1209931642409591.0,25.464195,72.0,2.0,-0.1529627665243827,-479.0
5381500426405.0,16.689011,79.0,5381500426694.0,24.004288,72.0,2.0,-0.1797661329940342,-289.0
354408865534386.0,18.822826,79.0,354408865534565.0,26.906029,72.0,2.0,-0.176763730471712,-179.0
