TimeL,ChargeL,ChannelIDL,TimeR,ChargeR,ChannelIDR,DOI,NCD,delta_t
338516282371237.0,19.72599,87.0,338516282372007.0,17.695385,80.0,15.0,0.0542632385902441,-770.0
1362426315965472.0,28.609657,103.0,1362426315966574.0,14.863045,96.0,25.0,0.3162125050336185,-1102.0
1137473452303352.0,27.06366,103.0,1137473452304045.0,18.51149,96.0,20.0,0.1876498486565596,-693.0
410054920903149.0,29.2257,78.0,410054920904536.0,17.17152,73.0,25.0,0.2598039279077496,-1387.0
1554385527553707.0,31.701962,78.0,1554385527555135.0,18.927021,73.0,25.0,0.2523246615481097,-1428.0
987190435645238.0,19.329521,86.0,987190435645923.0,24.955025,81.0,2.0,-0.1270308608334835,-685.0
1297285565532627.0,33.633038,78.0,1297285565534321.0,18.301395,73.0,28.0,0.2952115218048111,-1694.0
741923337608497.0,22.455177,94.0,741923337608849.0,25.157196,89.0,10.0,-0.0567503535268027,-352.0
610453923929434.0,26.471981,102.0,610453923930376.0,22.470341,97.0,20.0,0.0817623650957957,-942.0
1734224504168645.0,15.196926,87.0,1734224504169109.0,22.112648,80.0,2.0,-0.1853605189917204,-464.0
1278477165367750.0,24.45673,79.0,1278477165368573.0,23.349731,72.0,15.0,0.0231558449808698,-823.0
25444604649416.0,26.444328,94.0,25444604650356.0,21.13652,89.0,15.0,0.1115534552894054,-940.0
1440338862996330.0,19.522617,87.0,1440338862997034.0,20.712017,80.0,10.0,-0.0295615961114496,-704.0
596553503014007.0,23.883381,95.0,596553503015497.0,16.297592,88.0,20.0,0.1887905750813948,-1490.0
836434041633174.0,27.208309,86.0,836434041634384.0,20.796276,81.0,20.0,0.1335712619950782,-1210.0
1438124214070240.0,31.545177,103.0,1438124214071662.0,15.437782,96.0,28.0,0.3428348350728611,-1422.0
563309772324972.0,18.498753,95.0,563309772325507.0,24.439678,88.0,5.0,-0.1383591542969979,-535.0
1367810708715347.0,21.351967,102.0,1367810708715634.0,29.721848,97.0,2.0,-0.1638781242403764,-287.0
1258337983916335.0,22.529499,78.0,1258337983916896.0,26.04493,73.0,5.0,-0.0723720499112815,-561.0
468180809509991.0,28.763912,95.0,468180809511523.0,14.44268,88.0,28.0,0.3314594217474964,-1532.0
694517884588649.0,24.277061,95.0,694517884589641.0,17.582619,88.0,20.0,0.159925780607974,-992.0
1272706179867673.0,22.510208,94.0,1272706179868069.0,26.3965,89.0,5.0,-0.0794633734088174,-396.0
1109439947445395.0,23.450226,86.0,1109439947446421.0,21.609074,81.0,15.0,0.0408606436407134,-1026.0
1643781411216405.0,27.392624,79.0,1643781411217484.0,18.925781,72.0,15.0,0.1827965146900028,-1079.0
1657195147961733.0,18.365246,79.0,1657195147961927.0,25.747887,72.0,2.0,-0.1673569864103735,-194.0
623815620226667.0,23.608799,87.0,623815620227569.0,16.251465,80.0,20.0,0.1845781553278222,-902.0
953856121071780.0,18.684353,86.0,953856121072268.0,25.244579,81.0,2.0,-0.1493372522691878,-488.0
546946616898699.0,27.890232,94.0,546946616900020.0,17.362183,89.0,25.0,0.2326516496412401,-1321.0
1703775423210134.0,19.130085,79.0,1703775423210176.0,28.03051,72.0,5.0,-0.1887258843956485,-42.0
430455651996037.0,20.636398,94.0,430455651996445.0,25.904106,89.0,2.0,-0.1131854523964759,-408.0
672291606071476.0,22.51572,87.0,672291606072366.0,19.483364,80.0,15.0,0.0722005270400659,-890.0
827764375096670.0,29.63694,94.0,827764375098191.0,17.117905,89.0,28.0,0.2677590953408144,-1521.0
108806448627066.0,20.429592,79.0,108806448627484.0,24.06356,72.0,10.0,-0.0816747709849821,-418.0
362020556790200.0,17.459652,95.0,362020556790629.0,20.44643,88.0,10.0,-0.078794162899769,-429.0
46168483391205.0,27.986622,94.0,46168483391902.0,22.072914,89.0,20.0,0.1181334960835434,-697.0
409919477077398.0,17.466232,103.0,409919477077463.0,21.284775,96.0,5.0,-0.0985404843801865,-65.0
1425372305959094.0,18.320072,95.0,1425372305959297.0,25.282509,88.0,5.0,-0.159679469433243,-203.0
1029721427489586.0,30.981407,94.0,1029721427490518.0,21.414398,89.0,20.0,0.1825911253773084,-932.0
652470532345274.0,32.293816,94.0,652470532346751.0,18.389366,89.0,28.0,0.2743405100334861,-1477.0
389074321062002.0,28.883553,78.0,389074321062811.0,20.640118,73.0,20.0,0.1664544415538177,-809.0
550795098524902.0,14.310703,87.0,550795098525268.0,20.831268,80.0,2.0,-0.1855492112266555,-366.0
123460401848285.0,19.934875,94.0,123460401848017.0,24.856422,89.0,5.0,-0.1098773049594879,268.0
401730042042860.0,27.628002,103.0,401730042043741.0,16.569767,96.0,20.0,0.2501989410370465,-881.0
54111194074973.0,23.390732,102.0,54111194075695.0,23.324318,97.0,20.0,0.0014216831620644,-722.0
1177651860838652.0,28.103401,94.0,1177651860840057.0,16.40992,89.0,25.0,0.2626962162629924,-1405.0
1741288062311707.0,21.216358,102.0,1741288062311964.0,29.429195,97.0,5.0,-0.1621630432192141,-257.0
1731344569463691.0,22.327076,79.0,1731344569464053.0,25.8367,72.0,10.0,-0.0728685392108791,-362.0
618107657088360.0,23.159424,87.0,618107657089772.0,18.061859,80.0,15.0,0.1236634240617887,-1412.0
672682628391738.0,22.766018,87.0,672682628392622.0,17.021606,80.0,15.0,0.144376854471129,-884.0
1116288445685687.0,22.225208,78.0,1116288445686166.0,26.764198,73.0,2.0,-0.0926524808241194,-479.0
1172789938238460.0,27.830517,86.0,1172789938240538.0,16.677559,81.0,28.0,0.2505827931092775,-2078.0
981387690685460.0,18.422554,86.0,981387690686011.0,25.171104,81.0,10.0,-0.154805774729893,-551.0
368295183370592.0,24.008507,79.0,368295183371778.0,20.493332,72.0,15.0,0.0789894323243586,-1186.0
1534552339883572.0,20.189629,103.0,1534552339883949.0,23.736679,96.0,2.0,-0.0807500143194369,-377.0
888517758662787.0,20.004276,79.0,888517758663041.0,27.390556,72.0,5.0,-0.1558456837656898,-254.0
1735152501431958.0,23.972652,87.0,1735152501432874.0,16.949432,80.0,20.0,0.1716242017390903,-916.0
534525339017355.0,19.325981,102.0,534525339017684.0,25.785275,97.0,2.0,-0.1431858603094536,-329.0
585828978935726.0,25.001881,87.0,585828978936932.0,17.94239,80.0,20.0,0.1643872590129659,-1206.0
1392766025322219.0,27.537563,79.0,1392766025323391.0,17.736794,72.0,25.0,0.2164750567302369,-1172.0
1606877559174282.0,20.072529,102.0,1606877559174426.0,25.574856,97.0,2.0,-0.1205398074829478,-144.0
1453602811909875.0,19.370949,79.0,1453602811910058.0,26.932571,72.0,5.0,-0.1633055543077502,-183.0
348584976162227.0,26.341496,102.0,348584976163255.0,21.610912,97.0,20.0,0.0986516464407793,-1028.0
284032225238408.0,28.91531,95.0,284032225240259.0,15.774448,88.0,28.0,0.2940463897790631,-1851.0
957568528986102.0,25.691074,103.0,957568528986933.0,18.476471,96.0,15.0,0.163346253453752,-831.0
1274950069171654.0,27.759056,103.0,1274950069172655.0,16.408894,96.0,25.0,0.256977333111453,-1001.0
