ChannelID,energyCutLower,energyCutUpper,DOI
64,-1.3354019807737565,26.29277011514337,2
64,-2.30429666860981,26.80026608223511,5
64,-0.9953231810229308,27.130322096506944,10
64,-1.2400116171843791,28.074577859789066,15
64,-2.5384398590304986,26.090051020923227,20
64,6.638899139309295,23.424399950595426,25
64,0.15333941957363528,29.386933960197325,28
65,20.83288795378022,25.97332014340255,2
65,22.113766920437754,26.329757665652295,5
65,12.178729111659782,31.10322577626266,10
65,-3.561764523795997,38.862293676931216,15
65,23.04584835099422,29.0715872217775,20
65,24.164928007223676,28.04540078915043,25
65,17.528293748627235,34.495706985490656,28
66,21.864830364114166,25.770235724886778,2
66,22.733214827244698,24.10026201629361,5
66,1.8067887849715945,38.06681490550182,10
66,23.577233665873216,29.8808663953332,15
66,8.147611138510367,36.58943098916768,20
66,-0.3944281685108919,39.28604734646677,25
66,25.62484163607503,29.672749876756736,28
67,19.140535025953408,26.397575851646476,2
67,4.640704228969064,33.92242358740584,5
67,20.620713861147518,25.814175074504323,10
67,21.45589486235882,29.455734329721285,15
67,22.910320655743558,27.195041414329236,20
67,21.832734862454366,26.50942082904845,25
67,24.008499716723875,28.553592590969764,28
68,20.681812599644815,27.11493890400095,2
68,12.201201330666237,32.05725965672855,5
68,20.70575383133335,28.40489672182591,10
68,22.484177379403107,30.711698938447455,15
68,25.18892205664987,29.088823158932836,20
68,23.433878563453927,29.423999849086062,25
68,24.98391993307335,31.085106756126425,28
69,15.640697415549997,21.059693615450026,2
69,14.09423402375552,21.286915077840952,5
69,15.947441257535196,20.974787413785293,10
69,10.13054602374239,26.273485981271513,15
69,16.053221771124093,21.813973677600572,20
69,15.867021498218655,20.403875891620594,25
69,17.976197574831126,22.82930010499564,28
70,16.79433330139547,21.862687954734604,2
70,6.23280518576307,26.225783932974053,5
70,16.203761895848974,22.548012468850533,10
70,17.700432622532794,23.425562732300932,15
70,16.54716761533996,23.195263340342834,20
70,4.640155254024323,27.44542469275676,25
70,18.00224821944009,23.95888447677143,28
71,17.063376637218997,21.851619635272097,2
71,16.071170519999292,22.557629931552867,5
71,-3.019955913878608,29.354085234217475,10
71,18.802680152360757,23.619147976443188,15
71,17.45603272429848,22.82732228660592,20
71,17.2108172912046,22.571379964545436,25
71,18.996288447860195,23.8646092847408,28
72,14.092103954521503,20.164022983450977,2
72,1.3455167476035932,24.11290290112734,5
72,16.249882780622364,18.99815678702965,10
72,12.726475418361206,21.879403463818463,15
72,-0.43733218379862393,28.149315936566374,20
72,15.558203997282344,19.71222629103914,25
72,1.625333535646618,27.958259921762252,28
73,20.238220785596084,25.560864661812623,2
73,20.22196537968608,26.42709224288446,5
73,20.850116736014105,26.489217702259072,10
73,22.532826290514905,28.28414031982195,15
73,22.51993236492944,28.445748681085384,20
73,4.878529726158225,35.15193091664342,25
73,23.834796634990287,29.626096177976304,28
74,18.514044651165555,25.45817324121485,2
74,20.095882316658408,24.38748413435957,5
74,19.94187283755787,26.191130719029832,10
74,23.585476636323378,27.809190409443715,15
74,22.351873938894325,27.745628002081784,20
74,5.2462960800618905,34.61915418403548,25
74,22.897820536729903,29.67413180662212,28
75,19.102902370434155,26.138000343940345,2
75,17.8099104737434,26.322503387505655,5
75,20.493719519600557,26.545204710106415,10
75,14.036086155044746,33.12566334584906,15
75,21.102161570247134,29.467081929419493,20
75,22.693665822824805,26.986734137122156,25
75,24.236413946985753,29.656292305762964,28
76,21.796283216818253,27.316316024868634,2
76,20.618700059634506,28.049169480735706,5
76,8.832831082181979,36.54479128858689,10
76,25.937189639624183,31.469606448001432,15
76,26.19668759789511,31.28953037215489,20
76,25.742817015255476,30.00178079562707,25
76,26.078980293166914,33.26219148765288,28
77,15.712034294526276,22.754519710376208,2
77,14.46412920847726,22.762197844785483,5
77,17.30300441090245,21.055057399266776,10
77,17.73874977785709,22.94933558926026,15
77,16.44215919401098,23.10381363754507,20
77,13.852897981947747,23.170210277723847,25
77,17.91468976948268,23.918963612695332,28
78,19.097527447369824,24.364123502748686,2
78,19.49122805601638,24.97187098309419,5
78,21.452260250167402,27.55992682426511,10
78,24.38927149657941,31.5066496489381,15
78,25.76956741530851,33.2034589965442,20
78,26.62794985361303,34.22863039948832,25
78,30.15741445443372,35.53528336988944,28
79,15.787264845105813,21.060095420804263,2
79,15.131632608650547,22.924347665617315,5
